상품명,가격,링크
삼성전자 갤럭시북 이온 NT950XCR-G58A,1248990,https://search.shopping.naver.com/gate.nhn?id=21490861969
ASUS 젠북 14X OLED UM5401QA-KN028,1149000,https://search.shopping.naver.com/gate.nhn?id=30892109618
HP 14s-fq2020AU,478850,https://search.shopping.naver.com/gate.nhn?id=31925353618
LG전자 LG그램 17Z95P-GA5LK,1398930,https://search.shopping.naver.com/gate.nhn?id=30281736618
ASUS 비보북 17 X1702ZA-AU010,799000,https://search.shopping.naver.com/gate.nhn?id=32725289621
삼성전자 <b>노트북</b>5 NT550EBZ-AD2A,568990,https://search.shopping.naver.com/gate.nhn?id=16932807264
LG전자 그램15 15ZD95N-GX56K,1236730,https://search.shopping.naver.com/gate.nhn?id=28001082522
LG전자 LG그램 16Z90Q-GA56K,1898830,https://search.shopping.naver.com/gate.nhn?id=31438516619
LG전자 LG그램 14Z90Q-GA56K,1638840,https://search.shopping.naver.com/gate.nhn?id=32914296618
삼성전자 <b>노트북</b> 플러스2 NT550XDA-K24AG,597690,https://search.shopping.naver.com/gate.nhn?id=26760434522
삼성전자 갤럭시북 이온2 NT950XDA-X71AW,1858990,https://search.shopping.naver.com/gate.nhn?id=25310661522
LG전자 그램360 16T90P-GAF6K,1429110,https://search.shopping.naver.com/gate.nhn?id=30353560618
LG전자 그램360 14T90P-GAF6K,1298970,https://search.shopping.naver.com/gate.nhn?id=29989853618
삼성전자 삼성 NT350XCR-AD7AS,798990,https://search.shopping.naver.com/gate.nhn?id=26027103522
Apple 맥북 프로 16형 2021년 M1 Pro 10코어 CPU 및 16코어 GPU 1T 스페이스 그레이 (MK193KH/A),3315900,https://search.shopping.naver.com/gate.nhn?id=29412766620
에이서 스위프트3 SF314-43 R5 씬스틸러2,559000,https://search.shopping.naver.com/gate.nhn?id=26774628523
LG전자 LG그램 15ZD95P-GX30K,1067990,https://search.shopping.naver.com/gate.nhn?id=30364200621
HP 파빌리온 x360 14-dy0015TU,1189000,https://search.shopping.naver.com/gate.nhn?id=31802923623
삼성전자 갤럭시북2 NT550XEZ-A38A,697900,https://search.shopping.naver.com/gate.nhn?id=32917357618
에이서 스위프트5 SF514-55T,867260,https://search.shopping.naver.com/gate.nhn?id=25066151525
삼성전자 <b>노트북</b> 플러스 NT550XCR-AD3A,598990,https://search.shopping.naver.com/gate.nhn?id=22508501994
HP 파빌리온 15-eh2020AU,699000,https://search.shopping.naver.com/gate.nhn?id=31572003618
마이크로소프트 서피스 프로8 8PV-00030,1704320,https://search.shopping.naver.com/gate.nhn?id=30496631618
LG전자 LG그램 16ZD90Q-GX5LK,1652990,https://search.shopping.naver.com/gate.nhn?id=31452013618
LG전자 LG그램 17Z90Q-GA76K,2278990,https://search.shopping.naver.com/gate.nhn?id=31409838618
LG전자 울트라PC 13UD70P-GX50K,729000,https://search.shopping.naver.com/gate.nhn?id=24828065522
주연테크 캐리북e J3GW,359000,https://search.shopping.naver.com/gate.nhn?id=24875454523
삼성전자 <b>노트북</b> PEN S NT950SBE-X716A,2230390,https://search.shopping.naver.com/gate.nhn?id=16595414739
삼성전자 갤럭시북2 프로360 NT930QED-KC51S,1775030,https://search.shopping.naver.com/gate.nhn?id=31516607622
삼성전자 삼성 NT750XDA-KC39U,817990,https://search.shopping.naver.com/gate.nhn?id=30527259620
LG전자 그램16 16ZD90P-GX5BK,1208520,https://search.shopping.naver.com/gate.nhn?id=25255965522
ASUS G713RM-LL121,1749000,https://search.shopping.naver.com/gate.nhn?id=31199393622
레노버 씽크북 16 Gen4+ ARA 21D1000WKR,1143630,https://search.shopping.naver.com/gate.nhn?id=33597897618
LG전자 그램15 15Z95N-GA56K,1478990,https://search.shopping.naver.com/gate.nhn?id=28253769557
레노버 아이디어패드 요가 Slim7 Pro 14IHU i5 DOS,893000,https://search.shopping.naver.com/gate.nhn?id=32998069618
삼성전자 갤럭시북 NT750XDA-XC52S,1177960,https://search.shopping.naver.com/gate.nhn?id=30526852618
LG전자 LG그램 16Z90Q-GA76K,2109000,https://search.shopping.naver.com/gate.nhn?id=31406928618
